school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
560106,EP RWINKUBA,East,Ngoma,Gashanda,RURAL,PUBLIC,Preprimary + Primary,92.0,1.0,1,0.0,64.0,0.0,68.6228995323335,1.0
560107,EP MUTSINDO,East,Ngoma,Gashanda,RURAL,PUBLIC,Preprimary + Primary,67.55162811279297,1.0,1,0.0,64.0,0.0,79.5754716981132,1.0
560108,EP MURAMBI,,,,,,,61.16071319580078,,0,,,,76.4981132075472,1.0
560201,GS JARAMA  TSS,East,Ngoma,Jarama,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary + TVET,62.58427047729492,1.0,1,0.0,58.0,0.0,74.82444435977186,2.0
560202,GS MBUYE,East,Ngoma,Jarama,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,69.21568298339844,1.0,1,0.0,64.0,0.0,73.4690537449972,1.0
560203,GS UMUKA,East,Ngoma,Jarama,RURAL,PUBLIC,Preprimary + Primary + Ordinal Level,73.38195037841797,1.0,1,0.0,64.0,0.0,,
560204,EP URUHUHA,,,,,,,80.73248291015625,,0,,,,84.2875731945348,1.0
560205,EP KARENGE,,,,,,,72.7152328491211,,0,,,,78.814465408805,1.0
560302,GS KABIRIZI A,,,,,,,80.35264587402344,,0,,,,71.1827985282163,1.0
560303,GS KABIRIZI B  TSS,,,,,,,71.36659240722656,,0,,,,77.5116374114101,2.0
560304,EP NGARA,East,Ngoma,Karembo,RURAL,PUBLIC,Preprimary + Primary,80.49382781982422,1.0,1,0.0,64.0,0.0,,
560305,EP NYIMBYI,East,Ngoma,Karembo,RURAL,PUBLIC,Preprimary + Primary,75.5952377319336,1.0,1,0.0,64.0,0.0,,
560401,GS  RUGENGE,East,Ngoma,Kazo,RURAL,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level,71.33757781982422,1.0,0,1.0,58.0,0.0,68.3827784628302,1.0
560402,E P TUNDUTI,,,,,,,74.9590835571289,,0,,,,,
